,institute,callret-1,lat,long
51,https://w3id.org/arco/resource/CulturalInstituteOrSite/6cd6b176cc4bb2ad912a2ae88e91ba6a,715,45.922875,8.551277
52,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,99,46.78319012,11.90232699
53,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,1,46.77095247,11.36789837
54,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/74033dc4b43b1ad41378b1177bdce26e,81,5055196.2791,515727.80138
55,https://w3id.org/arco/resource/CulturalInstituteOrSite/228c713692b81a52e6d6c68c68f502af,284,41.885459,16.178512
56,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,2,46.64480955,11.71926579
57,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/caa10e4378feef05f4b020ce393c3654,300,45.41167873633747,10.393119335399422
58,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/af1a3c2607b4bed944c901d04ea8e531,3,5146845.6999,605327.07349
59,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,702,46.478081,11.328372
60,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,5,46.667913,11.691807
61,https://w3id.org/arco/resource/CulturalInstituteOrSite/a19debfdc17ccfc0197c5cd7288005cf,1,43.714487,10.407340
62,https://w3id.org/arco/resource/CulturalInstituteOrSite/52152524900e27cec053c700112e11db,3,43.775651,11.262946
63,https://w3id.org/arco/resource/CulturalInstituteOrSite/7683d52e80e904e5751117e85d239a4b,4,4973022,658385
64,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702426041,13.712460381
65,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,1,46.498449,11.376353
66,https://w3id.org/arco/resource/CulturalInstituteOrSite/5451afa6b1dc4c5c4eb6c0842573a56e,3,40.666162,8.748956
67,https://w3id.org/arco/resource/CulturalInstituteOrSite/29f3c2ca7d591cbeddf1f9f45548b8b6,1,43.720366,10.395502
68,https://w3id.org/arco/resource/CulturalInstituteOrSite/17d1db7af641d6d655808fec370c406c,12,45.434074,12.324361
69,https://w3id.org/arco/resource/CulturalInstituteOrSite/ICCD_CG_7588184662651,2,43.770618,11.257853
70,https://w3id.org/arco/resource/CulturalInstituteOrSite/75ee941339d289cfdad815af781cc481,4,42.660949,13.700333
71,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,5,46.272662,11.181531
72,https://w3id.org/arco/resource/CulturalInstituteOrSite/8521fa33c7f27a6c2300c70e9d3eefec,1,44.085987,10.035371
73,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,22,46.79693379,11.92594755
74,https://w3id.org/arco/resource/CulturalInstituteOrSite/b747a0c5a7e1b125a6982f3e6d410d74,404,43.106878,12.391257
75,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702385,13.712360
76,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SVM,163,46.78319012,11.90232699
77,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,10,46.80765112,11.57417754
78,https://w3id.org/arco/resource/CulturalInstituteOrSite/668fd34365d3e6afa0423c76468e9dea,1,41.121216,16.882971
79,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SME,5,46.34141066,11.23971639
80,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.702386,13.712398
81,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/1395eb20cd3678da089e811fbaf6bd86,1,5072646.1555,506463.41326000006
82,https://w3id.org/arco/resource/CulturalInstituteOrSite/1800ae85720ac0876deee17cc395580f,1,45.149003,10.807442
83,https://w3id.org/arco/resource/CulturalInstituteOrSite/720f768d5cd3213767e90ddc56bf4ec8,1,46.30899315,12.788474488
84,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG113638,1,45.70240435,13.712377003
85,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SVM,2603,46.478081,11.328372
86,https://w3id.org/arco/resource/CulturalInstituteOrSite/0f8478f9eba615c912bb1f343c348289,157,45.134777,11.755993
87,https://w3id.org/arco/resource/CulturalInstituteOrSite/441f39b9e3d0c8a3186c8ff3c18a4e92,4,41.899196,12.486432
88,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_MZK,1,46.60891202,11.56492348
89,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/c29c67f3f58402d3f447a71f544884ed,1,45.72983738819833,8.855834498197021
90,https://w3id.org/arco/resource/CulturalInstituteOrSite/dad07a78d635d8a066bd82f8d724243f,27,45.349333,10.883740
91,https://w3id.org/arco/resource/CulturalInstituteOrSite/DBunicoCG20403,1,43.765656,11.249350
92,https://w3id.org/arco/resource/CulturalInstituteOrSite/4284fa15cc4e68c8c7b549525b5e3397,101,4350318,457783
93,https://w3id.org/arco/resource/CulturalInstituteOrSite/c324e4fb8799b2e9f9c2fe0800017b6a,6,43.495424,13.625267
94,https://w3id.org/arco/resource/CulturalInstituteOrSite/30268ae3d2d73c82bb226df6edbf7a54,8,45.159450,10.798739
95,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/5a9a4470c51d10c64af263d867371563,5,45.476062793100596,9.196648043245432
96,https://w3id.org/arco/resource/CulturalInstituteOrSite/c922eac77d90427451751c1cf5e7e7b6,1,45.744366,8.629591
97,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_SVM,100,46.68262392,11.12300425
98,https://w3id.org/arco/resource/CulturalInstituteOrSite/1c18f69731a9d502da2e57fd501d4b26,149,45.307968,8.868828
99,https://w3id.org/arco/resource/CulturalInstituteOrSite/22b3c43bb177360a078d01f4d761ec4a,159,45.049491,7.680517
100,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_STM,3,46.79195676,11.98446064
101,https://w3id.org/arco/resource/CulturalInstituteOrSite/7905eb01d21e455248a6e4295d20f4ca,7,43.880530,11.096987
102,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,8,46.67637388,11.59842456
103,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/99b6e44004293a8c58cfdec161c47946,60,45.468931463746394,9.203482495613256
104,https://w3id.org/arco/resource/CulturalInstituteOrSite/29f3c2ca7d591cbeddf1f9f45548b8b6,1,43.720474,10.395582
105,https://w3id.org/arco/resource/Lombardia/CulturalInstituteOrSite/5f1f4c9641d5bcd4b292234639db08e2,1,10.580790113096452,10.489518170929076
106,https://w3id.org/arco/resource/AltoAdige/CulturalInstituteOrSite/AA_CG_LAV,8,46.80514494,10.53042739
