"label","labelO","labelCi"
"Dialoghi in Curia. Presentazione del volume “Nero’s Domus Aurea. Reconstruction and Reception of the Volta Dorata”","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Dicembre al museo. Aperture gratuite, visite guidate e laboratori per bambini","Indirizzo della Sede di: Pinacoteca Nazionale e Museo di Palazzo Mansi","Lucca"
"Concerto di Natale 2022 del Quartiere 5 con l'Orchestra da Camera Fiorentina e la Società di Danza Firenze","Indirizzo della Sede di: Villa medicea della Petraia","Firenze"
"Apertura straordinaria del Parco Archeologico e Antiquarium di Castelseprio","Indirizzo della Sede di: Antiquarium e Parco archeologico di Castelseprio","Castelseprio"
"Apertura straordinaria dell'Antiquarium e Parco di Canne della Battaglia","Indirizzo della Sede di: Antiquarium e zona archeologica di Canne della Battaglia","Barletta"
"Apertura straordinaria dell'Area Archeologica del Sodo","Indirizzo della Sede di: Area archeologica del Sodo e Tomba di Camucia","Cortona"
"apertura festiva_Copia","Indirizzo della Sede di: Area archeologica di Augusta Bagiennorum","Bene Vagienna"
"Apertura straordinaria dell'Area Archeologica di Comeana","Indirizzo della Sede di: Area archeologica di Comeana - Tumuli di Montefortini e Boschetti","Carmignano"
"Apertura straordinaria dell'Area Archeologica di Cosa","Indirizzo della Sede di: Area archeologica di Cosa","Orbetello"
"Apertura straordinaria dell'Area Archeologica di Roselle","Indirizzo della Sede di: Area archeologica di Roselle","Grosseto"
"Apertura straordinaria dell'Ara Archeologica di Vetulonia","Indirizzo della Sede di: Area archeologica di Vetulonia","Castiglione della Pescaia"
"Apertura della Basilica di San Francesco di Arezzo","Indirizzo della Sede di: Basilica di San Francesco - Arezzo","Arezzo"
"concerto","Indirizzo della Sede di: Biblioteca Universitaria di Genova","Genova"
"Apertura straordinaria della Cappella Espiatoria","Indirizzo della Sede di: Cappella Espiatoria","Monza"
"Apertura straordinaria del Castello di Copertino","Indirizzo della Sede di: Castello Angioino di Copertino","Copertino"
