"label","labelO","labelCi"
"Un racconto lungo un giorno!","Indirizzo della Sede di: Museo archeologico nazionale di Aquileia","Aquileia"
"Una notte al Museo archeologico","Indirizzo della Sede di: Museo archeologico nazionale di Cagliari","Cagliari"
"Una sera al museo - Apertura serale straordinaria dalle 20 alle 23","Indirizzo della Sede di: Museo archeologico nazionale di Canosa di Puglia - Palazzo Sinesi","Canosa di Puglia"
"Una sera al Museo","Indirizzo della Sede di: Museo archeologico nazionale di Canosa di Puglia - Palazzo Sinesi","Canosa di Puglia"
"Una sera al Museo: apertura straordinaria serale","Indirizzo della Sede di: Museo archeologico nazionale di Canosa di Puglia - Palazzo Sinesi","Canosa di Puglia"
"Una notte al MArTA","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"VENEZIA E L’ANTICO. PILLOLE DI MITOLOGIA","Indirizzo della Sede di: Museo archeologico nazionale di Venezia","Venezia"
"Un giorno tutto l'anno | Percorsi tattili al Museo Archeologico Nazionale di Venezia _Copia","Indirizzo della Sede di: Museo archeologico nazionale di Venezia","Venezia"
"Verso l’archeologia virtuale e cosmopolita","Indirizzo della Sede di: Museo nazionale archeologico di Altamura","Altamura"
"Video: il Museo Nazionale Etrusco «Pompeo Aria» e l' area archeologica di Kainua","Indirizzo della Sede di: Museo nazionale etrusco ""Pompeo Aria"" ed area archeologica di Kainua - Marzabotto","Marzabotto"
"Video: L'Università di Bologna a Marzabotto","Indirizzo della Sede di: Museo nazionale etrusco ""Pompeo Aria"" ed area archeologica di Kainua - Marzabotto","Marzabotto"
"UN PERCORSO DI CONOSCENZA E DI EMOZIONI A PAESTUM con le visite speciali “Un tuffo nel blu”","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"Visita al Parco con apertura straordinaria della Cripta","Indirizzo della Sede di: Parco archeologico di Siponto","Manfredonia"
"Col lavoro  delle tue mani, coll'ardore  del tuo cuore,  colla luce  della tua intelligenza","Indirizzo della Sede di: Museo archeologico nazionale di Aquileia","Aquileia"
"Dal 20 febbraio al 18 dicembre 2022 Musica al MArTA Quindici matinée domenicali Al Museo Archeologico Nazionale di Taranto","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"CONFERENZA STAMPA 12 FEBBRAIO Musica al MArTA – Le matinée domenicali","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"ALLA SCOPERTA DEL PATRIMONIO - Musei, bambini e tecnologia digitale","Indirizzo della Sede di: Direzione regionale Musei Calabria","Cosenza"
"100 anni milioni di colori: visioni laboratoriali ispirate alle opere di Lele Luzzati","Indirizzo della Sede di: Galleria nazionale della Puglia ""Girolamo e Rosaria Devanna""","Bitonto"
"Apertura Musei","Indirizzo della Sede di: Gallerie Estensi - Galleria estense","Modena"
"Apertura Musei","Indirizzo della Sede di: Gallerie Estensi - Pinacoteca nazionale di Ferrara","Ferrara"
"Al MArRC, la Cerimonia di consegna del Premio Nosside di Poesia 2019","Indirizzo della Sede di: MArRC - Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Apertura notturna del Museo Nazionale del Bargello","Indirizzo della Sede di: Musei del Bargello - Museo nazionale del Bargello","Firenze"
"Apertura prolungata al Museo Nazionale del Bargello - venerdì 3 gennaio 2020","Indirizzo della Sede di: Musei del Bargello - Museo nazionale del Bargello","Firenze"
"Apertura prolungata al Museo Nazionale del Bargello - sabato 4 gennaio 2020","Indirizzo della Sede di: Musei del Bargello - Museo nazionale del Bargello","Firenze"
"Apertura del Museo Archeologico Nazionale di Reggio Calabria nella giornata del 2 giugno - Festa della Repubblica","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"A Sud del Sud. Viaggio dentro la Calabria tra i diavoli e i resistenti","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"25 Marzo al MArTA il DanteDì - Il  Vate e i  vaticini: il sommo poeta e il mito di Anfiarao","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"8 Marzo 2021","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"Al Museo Archeologico Nazionale di Taranto omaggio al Teatro I “Mercoledì del MArTA” e il Festival della Cultura Classica","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"Apertura della mostra “So strange… so music! La musica si vede” 24 giugno ore 11:00","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"Al Museo nazionale archeologico di Altamura la prima Biennale d’arte della Murgia in memoria delle vittime di tutte le stragi","Indirizzo della Sede di: Museo nazionale archeologico di Altamura","Altamura"
"Al Museo nazionale archeologico di Altamura la prima Biennale d’arte della Murgia in memoria delle vittime di tutte le stragi- serale","Indirizzo della Sede di: Museo nazionale archeologico di Altamura","Altamura"
"Apertura del Museo Nazionale di Matera","Indirizzo della Sede di: Museo nazionale di Matera","Matera"
"21 settembre al Museo Nazionale di Matera - Giornata ad ingresso gratuito","Indirizzo della Sede di: Museo nazionale di Matera - Museo Domenico Ridola","Matera"
"21 settembre al Museo Nazionale di Matera - Giornata ad ingresso gratuito","Indirizzo della Sede di: Museo nazionale di Matera - Palazzo Lanfranchi","Matera"
"20 agosto: Inaugurazione del servizio di navetta nel Parco di Miramare","Indirizzo della Sede di: Museo storico e il Parco del Castello di Miramare","Trieste"
"21 giugno 2021: Festa della musica a Paestum","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"21 giugno 2021: Festa della musica a Velia","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Velia","Ascea"
"Visita guidata al museo e alle collezioni","Indirizzo della Sede di: Museo archeologico nazionale Prenestino, Santuario della Fortuna Primigenia e Complesso degli edifici del foro di Praeneste","Palestrina"
"Visite guidate alla mostra ""La stanza dei modelli"". Sculture restaurate dal Museo Ginori_Copia","Indirizzo della Sede di: Villa medicea della Petraia","Firenze"
"Festa della Repubblica al VIVE","Indirizzo della Sede di: Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"attività didattica","Indirizzo della Sede di: Complesso monumentale del Castello e Parco di Racconigi","Racconigi"
"Herakleia,dall'alto","Indirizzo della Sede di: Museo archeologico nazionale della Siritide - Policoro","Policoro"
"Hannah Arendt. Imprevisto ed eccezione. Lo stupore della storia","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"I “Mercoledì del MArTA” e il Festival della Cultura Classica Al Museo Archeologico Nazionale di Taranto omaggio al Teatro","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"I “Mercoledì del MArTA” e il Festival della Cultura Classica","Indirizzo della Sede di: Museo archeologico nazionale di Taranto","Taranto"
"Gustiamo l'antico","Indirizzo della Sede di: Museo nazionale Concordiese di Portogruaro","Portogruaro"
"Parco Archeologico dell'Appia Antica. Apertura festiva._Copia_Copia_Copia","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Villa di Capo di Bove","Roma"
"Apertura straordinaria con visite guidate","Indirizzo della Sede di: Abbazia di Fruttuaria","San Benigno Canavese"
"Abbazia di Pomposa: musica e preghiera nella suggestiva cornice della chiesa di S. Maria","Indirizzo della Sede di: Abbazia di Pomposa e Museo pomposiano","Codigoro"
"Abbazia di Pomposa: APERTURA STRAORDINARIA SERALE","Indirizzo della Sede di: Abbazia di Pomposa e Museo pomposiano","Codigoro"
"Abbazia di Santo Spirito al Morrone - Apertura straordinaria","Indirizzo della Sede di: Abbazia di Santo Spirito al Morrone","Sulmona"
"1016 anni dalla fondazione di San Nilo","Indirizzo della Sede di: Abbazia greca di San Nilo","Grottaferrata"
"Apertura al pubblico il primo e il due novembre 2021","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"#viaggioinitalia e #paesaggioitaliano Ecco le tantissime foto che ci avete inviato","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"Anfiteatro campano su Il Mattino","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"Anfiteatro su Rai5","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"Apertura straordinaria Antiquarium_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Apertura straordinaria Antiquarium_Copia_Copia_Copia_Copia_Copia_Copia_Copia_Copia","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Antiquarium Torre Cimalonga: ""Apertura Straordinaria""","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Apertura straordinaria serale Antiquarium di Torre Cimalonga","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Apertura Straordinaria Antiquarium di Torre Cimalonga","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Apertura Straordinaria Antiquarium di Torre Cimalonga_Copia","Indirizzo della Sede di: Antiquarium di Torre Cimalonga","Scalea"
"Apertura serale della villa romana","Indirizzo della Sede di: Antiquarium e Area archeologica della Villa romana","Minori"
"Apertura straordinaria e visite guidate - Sabato 11 Dicembre 2021","Indirizzo della Sede di: Antiquarium e zona archeologica di Canne della Battaglia","Barletta"
"Apertura straordinaria serale","Indirizzo della Sede di: Antiquarium e zona archeologica di Canne della Battaglia","Barletta"
"Alla scoperta de ""Alle origini di numana"" 16a parte","Indirizzo della Sede di: Antiquarium statale di Numana","Numana"
"2 giugno 2020 - Festa della Repubblica","Indirizzo della Sede di: Archivio centrale dello Stato","Roma"
"25 aprile 2020, 75° anniversario della Liberazione dell’Italia dal nazifascismo #1","Indirizzo della Sede di: Archivio centrale dello Stato","Roma"
"25 aprile 2020, 75° anniversario della Liberazione dell’Italia dal nazifascismo #2","Indirizzo della Sede di: Archivio centrale dello Stato","Roma"
"25 aprile 2020, 75° anniversario della Liberazione dell’Italia dal nazifascismo #3","Indirizzo della Sede di: Archivio centrale dello Stato","Roma"
"21 giugno Festa della Musica 2020 - Musica d’occasione tra le carte della Real Casa","Indirizzo della Sede di: Archivio centrale dello Stato","Roma"
"Alla scoperta dell'Archivio di Stato di Pistoia e del suo patrimonio","Indirizzo della Sede di: Archivio di Stato dell'Aquila","L'Aquila"
"Apertura straordinaria. Visite guidate all’Archivio di Stato di Alessandria","Indirizzo della Sede di: Archivio di Stato di Alessandria","Alessandria"
"Ankon: come in un abbraccio","Indirizzo della Sede di: Archivio di Stato di Ancona","Ancona"
"A passeggio tra i documenti","Indirizzo della Sede di: Archivio di Stato di Ascoli Piceno","Ascoli Piceno"
"Al3 pillole color Arcobaleno","Indirizzo della Sede di: Archivio di Stato di Avellino","Avellino"
"Alla scoperta dell’Archivio","Indirizzo della Sede di: Archivio di Stato di Bari","Bari"
"Apertura straordinaria delle Biblioteche e degli Archivi di Stato","Indirizzo della Sede di: Archivio di Stato di Benevento","Benevento"
"26 e 38 - maternità infanzia e leggi razziali tra il 1926 ed il 1938","Indirizzo della Sede di: Archivio di Stato di Brescia","Brescia"
"Apertura Starordinaria","Indirizzo della Sede di: Archivio di Stato di Brindisi","Brindisi"
"Alla scoperta dello stile Liberty e Art Déco di Mirko Vucetich a Catania","Indirizzo della Sede di: Archivio di Stato di Catania","Catania"
"Alla scoperta dei Vucetich che progettarono la Catania Art Deco","Indirizzo della Sede di: Archivio di Stato di Catania","Catania"
"apertura straordinaria","Indirizzo della Sede di: Archivio di Stato di Como","Como"
"1959-2019 60anni dell'Archivio di Stato di Fermo da sezione a sede autonoma","Indirizzo della Sede di: Archivio di Stato di Fermo","Fermo"
"Apertura straordinaria 13 novembre","Indirizzo della Sede di: Archivio di Stato di Firenze","Firenze"
"Apertura straordinaria e presentazione","Indirizzo della Sede di: Archivio di Stato di Forlì-Cesena","Forlì"
"Apertura straordinaria della Sala di Studio della Sede di Forlì e della Sezione di Cesena","Indirizzo della Sede di: Archivio di Stato di Forlì-Cesena","Forlì"
"3 dicembre - Un giorno all'anno tutto l'anno ","Indirizzo della Sede di: Archivio di Stato di Frosinone","Frosinone"
"12 marzo 1959: “Arriva il Cavallino Rampante”; percorso di storia, passione e sentimenti del 4° Stormo in terra di Maremma","Indirizzo della Sede di: Archivio di Stato di Grosseto","Grosseto"
"Apertura straordinaria - Archivio di Stato di Grosseto","Indirizzo della Sede di: Archivio di Stato di Grosseto","Grosseto"
"Apertura straordinaria sala studio dell'Archivio di Stato di Imperia","Indirizzo della Sede di: Archivio di Stato di Imperia","Imperia"
"150 anni di Arsenale: storie spezzine in mostra","Indirizzo della Sede di: Archivio di Stato di La Spezia","La Spezia"
"Apertura straordinaria dell'Archivio di Stato di Macerata","Indirizzo della Sede di: Archivio di Stato di Macerata","Macerata"
"1° Maggio","Indirizzo della Sede di: Archivio di Stato di Matera","Matera"
"Annuncio donazione Paolo Lagazzi","Indirizzo della Sede di: Archivio di Stato di Parma","Parma"
"Apertura straordinaria dell'Archivio di Stato di Pavia","Indirizzo della Sede di: Archivio di Stato di Pavia","Pavia"
"Aldo Capitini e Perugia. Un itinerario nei luoghi capitiniani della città","Indirizzo della Sede di: Archivio di Stato di Perugia","Perugia"
"Adotta un documento, tutela la memoria","Indirizzo della Sede di: Archivio di Stato di Perugia","Perugia"
"A spasso con Jackson. Pesaro con gli occhi di un viaggiatore dell'800. I luoghi, i documenti","Indirizzo della Sede di: Archivio di Stato di Pesaro-Urbino","Pesaro"
"Apertura straordinaria mostra QUEL CHE RESTA DEL GIORNO, Epidemie uomini e fatti: i documenti della Storia in dialogo con l'Arte del presente","Indirizzo della Sede di: Archivio di Stato di Pesaro-Urbino","Pesaro"
"Apertura straordinaria","Indirizzo della Sede di: Archivio di Stato di Pesaro-Urbino. Sezione di Fano","Fano"
"Apertura straordinaria della Sezione di Archivio di Stato di Urbino","Indirizzo della Sede di: Archivio di Stato di Pesaro-Urbino. Sezione di Urbino","Urbino"
"Ampliamento giorni di apertura","Indirizzo della Sede di: Archivio di Stato di Pordenone","Pordenone"
"Apertura straordinaria dell'Archivio di Stato di Potenza","Indirizzo della Sede di: Archivio di Stato di Potenza","Potenza"
"aper in Motion: Information and the Economy of Knowledge","Indirizzo della Sede di: Archivio di Stato di Prato","Prato"
"Apertura straordinaria Archivio di Stato di Ragusa","Indirizzo della Sede di: Archivio di Stato di Ragusa","Ragusa"
"Al margine. Fonti per Dante e la sua fortuna a Ravenna","Indirizzo della Sede di: Archivio di Stato di Ravenna","Ravenna"
"19/11/1924 - Il furto della Corazza di Teodorico","Indirizzo della Sede di: Archivio di Stato di Ravenna","Ravenna"
"Apertura straordinaria della Sala Alessandrina e della mostra ""Roma napoleonica. Progetti e visioni per la seconda capitale dell’impero""","Indirizzo della Sede di: Archivio di Stato di Roma","Roma"
"#ViaggioinItalia. Carta corografica dello Stato Pontificio (1817)","Indirizzo della Sede di: Archivio di Stato di Roma","Roma"
"#ViaggioinItalia. Lungo la costa tirrenica da Anzio a Terracina","Indirizzo della Sede di: Archivio di Stato di Roma","Roma"
"1919 - 1926 Il fascismo da movimento a regime","Indirizzo della Sede di: Archivio di Stato di Rovigo","Rovigo"
"1959-2019 L’Archivio racconta i suoi primi 60 anni","Indirizzo della Sede di: Archivio di Stato di Sassari","Sassari"
"Apertura straordinaria 13 dicembre 2020","Indirizzo della Sede di: Archivio di Stato di Savona","Savona"
"Alle origini del welfare (XIII-XVI secolo). Convegno internazionale di chiusura del PRIN 2015","Indirizzo della Sede di: Archivio di Stato di Siena","Siena"
"A 80 anni dal secondo conflitto mondiale: i documenti della guerra e della pace","Indirizzo della Sede di: Archivio di Stato di Torino","Torino"
"Apertura straordinaria","Indirizzo della Sede di: Archivio di Stato di Udine","Udine"
"27 gennaio, Giornata della Memoria","Indirizzo della Sede di: Archivio di Stato di Venezia","Venezia"
"Apertura spazi monumentali","Indirizzo della Sede di: Archivio di Stato di Venezia","Venezia"
"25 marzo 2020 - Dantedì","Indirizzo della Sede di: Archivio di Stato di Venezia","Venezia"
"Apertura straordinaria del Sito Archeologico di Amiternum a San Vittorino - Teatro ","Indirizzo della Sede di: Area archeologica Amiternum","L'Aquila"
"Apertura straordinaria del Sito Archeologico di Amiternum a San Vittorino - Anfiteatro ","Indirizzo della Sede di: Area archeologica Amiternum","L'Aquila"
"Apertura straordinaria dell'Area Archeologica di Amiternum","Indirizzo della Sede di: Area archeologica Amiternum","L'Aquila"
"Apertura straordinaria dell'Area archeologica del Tempio italico di Castel di Ieri ","Indirizzo della Sede di: Area archeologica del Tempio Italico di Casalbore","Casalbore"
"apertura serale dell'anfiteatro romano","Indirizzo della Sede di: Area archeologica dell'anfiteatro romano di Avella","Avella"
"apertura serale dell'area delle tombe romane","Indirizzo della Sede di: Area archeologica della necropoli monumentale di Avella","Avella"
"26 e 27 Settembre 2020 Visite al Complesso Monumentale di Carminiello ai Mannesi – Napoli","Indirizzo della Sede di: Area archeologica di Carminiello ai Mannesi","Napoli"
"Apertura straordinaria pomeridiana dell'Area archeologica e del Tumulo di Montefortini  a Carmignano (PO)","Indirizzo della Sede di: Area archeologica di Comeana - Tumuli di Montefortini e Boschetti","Carmignano"
"A Libarna presentazione della nuova App per la visita virtuale, visite guidate e spettacoli teatrali per le Giornate Europee del Patrimonio 2019","Indirizzo della Sede di: Area archeologica di Libarna","Serravalle Scrivia"
"Alla scoperta di Albintimilium: il sito e la Domus del Cavalcavia","Indirizzo della Sede di: Area archeologica di Nervia","Ventimiglia"
"Alla scoperta dell'acquedotto di Albintimilium","Indirizzo della Sede di: Area archeologica di Nervia","Ventimiglia"
"Apertura straordinaria area archeologica di Roselle","Indirizzo della Sede di: Area archeologica di Roselle","Grosseto"
"Apertura straordinarie serali con visite guidate gratuite","Indirizzo della Sede di: Area archeologica di Roselle","Grosseto"
"Apertura prolungata dell’Area Archeologica di Veleia Romana","Indirizzo della Sede di: Area archeologica e Antiquarium di Veleia","Lugagnano Val d'Arda"
"Apertura straordinaria della Cappella Bacci e della mostra ""Riflessi antichi, visioni contemporanee, Arezzo e il suo territorio""","Indirizzo della Sede di: Basilica di San Francesco","Arezzo"
"Abbiamo fatto cose da pazzi. Lamberto Pignotti e la Marucelliana","Indirizzo della Sede di: Biblioteca Marucelliana","Firenze"
"A carte scoperte: il gioco nelle collezioni della BNCF ","Indirizzo della Sede di: Biblioteca Nazionale Centrale di Firenze","Firenze"
"Andare per erbe e fiori nel territorio lucano","Indirizzo della Sede di: Biblioteca Nazionale di Potenza","Potenza"
"Apertura straordinaria e inaugurazione Punto Lettura Nati per Leggere","Indirizzo della Sede di: Biblioteca Nazionale di Potenza","Potenza"
"Apertura straordinaria","Indirizzo della Sede di: Biblioteca Riccardiana di Firenze","Firenze"
"APERTURA STRAORDINARIA SABATO 18 DICEMBRE 2021","Indirizzo della Sede di: Biblioteca Statale Antonio Baldini","Roma"
"Apertura straordinaria 8 dicembre 2020.","Indirizzo della Sede di: Biblioteca Statale del Monumento Nazionale di Grottaferrata","Grottaferrata"
"Apertura straordinaria pomeridiana della biblioteca","Indirizzo della Sede di: Biblioteca Statale di Lucca","Lucca"
"Alessandrina in bianco e nero","Indirizzo della Sede di: Biblioteca Universitaria Alessandrina di Roma","Roma"
"ALESSANDRINA IN BIANCO E NERO","Indirizzo della Sede di: Biblioteca Universitaria Alessandrina di Roma","Roma"
"Andrea Bacchetti in concerto","Indirizzo della Sede di: Biblioteca Universitaria di Genova","Genova"
"1969-2019 dall'autunno caldo ad oggi","Indirizzo della Sede di: Biblioteca Universitaria di Genova","Genova"
"Apertura straordinaria della BIBLIOTECA UNIVERSITARIA DI GENOVA- 10-11 ottobre 2020","Indirizzo della Sede di: Biblioteca Universitaria di Genova","Genova"
"250° anniversario della nascita di Ludwig van Beethoven","Indirizzo della Sede di: Biblioteca Universitaria di Genova","Genova"
"1984: un romanzo fuori dal tempo","Indirizzo della Sede di: Biblioteca Universitaria di Napoli","Napoli"
"Alchimia blu. Chimigrammi e Cianotipi ","Indirizzo della Sede di: Biblioteca Universitaria di Napoli","Napoli"
"Apertura straordinaria dei luoghi di cultura","Indirizzo della Sede di: Biblioteca Universitaria di Napoli","Napoli"
"#ViaggioinItalia...con l'Illustrazione del Lombardo-Veneto","Indirizzo della Sede di: Biblioteca Universitaria di Padova","Padova"
"Andrea de Alberti, La cospirazione dei tarli. L’universo di don Chisciotte","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Alzati Martin","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Alessandro Milan, Due Milioni di Baci","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Apertura straordinaria Domenica di carta 2019","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Aldini 5, uno dei nostri manoscritti tascabili","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"A piccoli passi verso la normalità","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Apertura straordinaria mostra fotografica e documentale ""L'identità in vetrina - storie della Faradda""","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"ANTONIO GRAMSCI - L'Uomo Filosofo","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"2 giugno 2020 - Festa della Repubblica - Una rosa alle rose della Costituzione","Indirizzo della Sede di: Biblioteca Vallicelliana","Roma"
"Amor ch'a nullo Amato Amar perdona...Il Canto di Paolo e Francesca","Indirizzo della Sede di: Biblioteca Vallicelliana di Roma","Roma"
"Anna Celli e le altre. Tra medicina e impegno sociale nella Roma di primo Novecento","Indirizzo della Sede di: Biblioteca di storia moderna e contemporanea","Roma"
"A Convert's Tale. Art, Crime and Jewish Apostasy in Renaissance Italy","Indirizzo della Sede di: Biblioteca di storia moderna e contemporanea","Roma"
"13 OTTOBRE 2019: DOMENICA DI CARTA 2019 - Biblioteca Nazionale Marciana à la carte - visita guidata ore 15.00","Indirizzo della Sede di: Biblioteca nazionale Marciana","Venezia"
"Apertura straordinaria della BNCR","Indirizzo della Sede di: Biblioteca nazionale centrale di Roma","Roma"
"A SPASSO CON LE DITA. Mostra di libri tattili e laboratori per bambini e ragazzi","Indirizzo della Sede di: Biblioteca nazionale centrale di Roma","Roma"
"A spasso con la dita. Mostra di libri tattili e laboratori per bambini e ragazzi","Indirizzo della Sede di: Biblioteca nazionale centrale di Roma","Roma"
"A LIBRO APERTO E CUORE SPALANCATO - NATI PER LEGGERE NAPOLI","Indirizzo della Sede di: Biblioteca nazionale di Napoli ""Vittorio Emanuele III""","Napoli"
"#VIAGGIOINITALIA nel REGNO DI NAPOLI","Indirizzo della Sede di: Biblioteca nazionale di Napoli ""Vittorio Emanuele III""","Napoli"
"Alla Bsi di Gorizia la mostra collettiva “Eureka!” con il festival Fotografia Zero Pixel","Indirizzo della Sede di: Biblioteca statale Isontina di Gorizia","Gorizia"
"Alla BSI Domenica di Carta con la mostra di Renato De Marco ","Indirizzo della Sede di: Biblioteca statale Isontina di Gorizia","Gorizia"
"Alla scoperta dell'Unione Europea","Indirizzo della Sede di: Biblioteca statale di Cremona","Cremona"
"A scuola nei musei: il mito di Diana cacciatrice nella Camera di San Paolo","Indirizzo della Sede di: Camera di San Paolo","Parma"
"A scuola nei musei: La camera della Badessa","Indirizzo della Sede di: Camera di San Paolo","Parma"
"Abbracci culturali - Distanti in  Armonia al Castello Scaligero","Indirizzo della Sede di: Castello Scaligero di Sirmione","Sirmione"
"Alla scoperta del Castello dei Burattini","Indirizzo della Sede di: Castello dei burattini - Museo ""G. Ferrari""","Parma"
"Apertura straordinaria settembre 2021 - Catello di Capua -Gambatesa","Indirizzo della Sede di: Castello di Capua","Gambatesa"
"Apertura straordinaria del Castello di Civitacampomarano","Indirizzo della Sede di: Castello di Civitacampomarano","Civitacampomarano"
"1, 2, 3… Castello in festa ai tempi di Leonardo ","Indirizzo della Sede di: Castello di Torrechiara","Langhirano"
"Animali fantastici e... altre orrorerie","Indirizzo della Sede di: Castello di Torrechiara","Langhirano"
"Apertura straordinaria serale e XIII edizione del Meeting del Volontariato","Indirizzo della Sede di: Castello svevo di Bari","Bari"
"Apertura straordinaria serale e presentazione del libro ""Champollion in Egitto, diario di una spedizione scientifica""","Indirizzo della Sede di: Castello svevo di Bari","Bari"
"Apertura straordinaria serale – Inaugurazione Settimana della Cultura Italo Polacca","Indirizzo della Sede di: Castello svevo di Bari","Bari"
"Apertura straordinaria Cenacolo di Fuligno","Indirizzo della Sede di: Cenacolo del Fuligno","Firenze"
"apertura straordinaria Cenacolo di Andrea del Sarto","Indirizzo della Sede di: Cenacolo di Andrea del Sarto a San Salvi","Firenze"
"Apertura straordinaria per la rassegna ""Concerti al Cenacolo"" dell’Associazione L’Homme Armé","Indirizzo della Sede di: Cenacolo di Andrea del Sarto a San Salvi","Firenze"
"apertura straordinaria Cenacolo Ognissanti","Indirizzo della Sede di: Cenacolo di Ognissanti","Firenze"
"Alla scoperta dei tesori nascosti nell'ex convento di San Sebastiano","Indirizzo della Sede di: Centro operativo per l'Archeologia","Gravina in Puglia"
"100 Rodari","Indirizzo della Sede di: Centro per il libro e la lettura","Roma"
"Apertura straordinaria delle aree archeologiche di Trieste","Indirizzo della Sede di: Centro visitatori Biotopo protetto e aree archeologiche Torbiera di Fiavé","Fiavè"
"°iorestoacasa ma scopro..i giardini segreti della Certosa!","Indirizzo della Sede di: Certosa di San Giacomo","Capri"
"Apertura serale straordinaria e concerto dell’Ensemble Barocco Accademia Reale- “Le Sinfonie e Sonate Napolitane a due violini, violoncello e basso”","Indirizzo della Sede di: Certosa e Museo di San Martino","Napoli"
"Apertura straordinaria | “Le Sibille tra antico e contemporaneo”","Indirizzo della Sede di: Certosa e Museo di San Martino","Napoli"
"Ai confini del corpo XI edizione 2020","Indirizzo della Sede di: Chiostro di Santa Chiara","Bari"
"Apertura Straordinaria della Civica Raccolta d’Arte","Indirizzo della Sede di: Civica raccolta d'arte di Medole, Palazzo Ceni","Medole"
"A scavo aperto","Indirizzo della Sede di: Civico museo archelogico della Valle Sabbia","Gavardo"
"1982 - La firma del Presidente. Sfogliando i vecchi registri di Caprera","Indirizzo della Sede di: Compendio garibaldino di Caprera","Sassari"
"Apertura straordinaria Complesso della Pilotta","Indirizzo della Sede di: Complesso Monumentale della Pilotta","Parma"
"Apertura straordinaria del Complesso Monumentale San Pietro a Corte","Indirizzo della Sede di: Complesso monumentale San Pietro a Corte - ipogeo e Chiesa S.Anna","Salerno"
"Anteprima mostra ""Pinocchio around the world""","Indirizzo della Sede di: Complesso monumentale San Pietro a Corte - ipogeo e Chiesa S.Anna","Salerno"
"Accoglienza visitatori e presentazione progetto Biblioteca di Carlo Alberto","Indirizzo della Sede di: Complesso monumentale del Castello e parco di Racconigi","Racconigi"
"Apertura straordinaria con visita al fregio palagiano","Indirizzo della Sede di: Complesso monumentale del Castello e parco di Racconigi","Racconigi"
"Apertura straordinaria della Biblioteca Palatina","Indirizzo della Sede di: Complesso monumentale della Pilotta - Biblioteca Palatina di Parma","Parma"
"Apertura straordinaria della Biblioteca Palatina per la VI edizione di ""I like Parma, Un patrimonio da vivere""","Indirizzo della Sede di: Complesso monumentale della Pilotta - Biblioteca Palatina di Parma","Parma"
"3 ottobre XVIII Giornata Nazionale Amici dei Musei","Indirizzo della Sede di: Complesso monumentale della Pilotta - Galleria nazionale di Parma","Parma"
"76 anni fa: il bombardamento della Pilotta","Indirizzo della Sede di: Complesso monumentale della Pilotta - Teatro Farnese","Parma"
"Apertura straordinaria settembre 2021 - Complesso monumentale di san vincenzo al Volturno","Indirizzo della Sede di: Complesso monumentale di San Vincenzo al Volturno","Castel San Vincenzo"
