"o","labelOO"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14366","Sede di Museo nazionale degli strumenti musicali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14367","Sede di Archivio di Stato di Rieti"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14368","Sede di Archivio di Stato di Rieti"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14396","Sede di Complesso monumentale della Pilotta - Biblioteca Palatina di Parma"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1441","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14456","Sede di Archivio di Stato di Alessandria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14461","Sede di Museo nazionale archeologico della Sibaritide"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14474","Sede di Biblioteca Universitaria di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14476","Sede di Pinacoteca di Brera"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14500","Sede di Museo nazionale archeologico ed etnografico ""Giovanni Antonio Sanna"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14506","Sede di Complesso monumentale della Pilotta - Teatro Farnese"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14511","Sede di Museo archeologico nazionale di Taranto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14541","Sede di Villa Adriana e Villa d'Este"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14572","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14590","Sede di Anfiteatro campano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14615","Sede di Museo archeologico nazionale ""Vito Capialbi"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14616","Sede di Museo archeologico nazionale di Crotone"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1463","Sede di Museo archeologico territoriale della penisola sorrentina ""Georges Vallet"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14681","Sede di Museo archeologico nazionale di Cagliari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14739","Sede di Musei Reali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14749","Sede di Villa Adriana e Villa d'Este - Villa d'Este"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14798","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14912","Sede di Museo nazionale di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14955","Sede di Castello Bufalini"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_14964","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15","Sede di Villa Adriana e Villa d'Este - Villa d'Este"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15053","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15079","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15094","Sede di Museo di Palazzo Grimani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15101","Sede di Museo nazionale degli strumenti musicali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1531","Sede di Museo della ceramica Duca di Martina in Villa Floridiana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15320","Sede di Galleria nazionale di Cosenza"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15482","Sede di GAM - Galleria civica d'arte moderna e contemporanea"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15484","Sede di Museo nazionale archeologico di Altamura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15542","Sede di Museo Boncompagni Ludovisi per le arti decorative, il costume e la moda dei secoli XIX e XX"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15606","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15625","Sede di Musei del Bargello - Museo nazionale del Bargello"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_15643","Sede di Castello di Torrechiara"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1610","Sede di Museo di Palazzo Grimani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1619","Sede di Museo nazionale etrusco e necropoli di Chiusi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1644","Sede di Museo civico del Risorgimento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1682","Sede di Biblioteca Nazionale Centrale di Firenze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1689","Sede di Museo Palazzo Reale di Genova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_171","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1791","Sede di Museo della ceramica Duca di Martina in Villa Floridiana"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_180","Sede di Parco archeologico di Ercolano - Area archeologica"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1813","Sede di Museo e Parco archeologico nazionale di Scolacium"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1814","Sede di Galleria nazionale di Cosenza"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1824","Sede di Archivio di Stato di Macerata - Sezione di Camerino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1853","Sede di Museo archeologico lametino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1893","Sede di Ufficio di Gabinetto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1958","Sede di Parco archeologico di Paestum e Velia - Museo archeologico nazionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_196","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1978","Sede di Parco archeologico di Paestum e Velia - Area archeologica di Paestum"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_1999","Sede di Archivio di Stato di Udine"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2025","Sede di Museo Sa domu nosta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2131","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_217","Sede di Villa Romana e Antiquarium"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2262","Sede di Museo della cultura contadina - Ecomuseo Alta Val Petronio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2289","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2298","Sede di Museo della cultura contadina - Ecomuseo Alta Val Petronio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2364","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2420","Sede di Pinacoteca ""G. Stuard"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_248","Sede di Palazzo Besta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2482","Sede di Archivio di Stato di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2546","Sede di Museo nazionale d'arte medievale e moderna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2548","Sede di Biblioteca statale Antonio Baldini"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2639","Sede di Museo archeologico nazionale di Sarsina"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2710","Sede di Orto botanico di Bergamo Lorenzo Rota"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2719","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2795","Sede di Parco archeologico di Cerveteri e Tarquinia - Museo nazionale archeologico Cerite"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2804","Sede di Parco archeologico di Cerveteri e Tarquinia - Museo nazionale archeologico Cerite"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2806","Sede di Museo nazionale di Matera - Museo Domenico Ridola"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_285","Sede di Gallerie Estensi - Pinacoteca nazionale di Ferrara"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_286","Sede di Gallerie Estensi - Palazzo Ducale di Sassuolo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2862","Sede di Museo nazionale romano - Aula ottagona delle Terme di Diocleziano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2899","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_293","Sede di Gallerie Estensi - Galleria estense"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2943","Sede di Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_2957","Sede di Biblioteca Nazionale Centrale di Firenze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3026","Sede di Istituto Centrale per i beni sonori ed audiovisivi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3035","Sede di Biblioteca Universitaria di Cagliari"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3038","Sede di Archivio di Stato di Massa"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3068","Sede di Archivio di Stato di Modena"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_307","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3083","Sede di Archivio di Stato dell'Aquila. Sezione di Avezzano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_31","Sede di Parco archeologico di Cerveteri e Tarquinia - Museo nazionale archeologico Cerite"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3101","Sede di Museo nazionale di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_313","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3170","Sede di Pinacoteca di Brera"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3172","Sede di Parco archeologico di Paestum e Velia - Museo archeologico nazionale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3233","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3234","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3235","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3236","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3237","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3238","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3239","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3240","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3241","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3243","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3245","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3246","Sede di Gallerie degli Uffizi – Gli Uffizi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3250","Sede di Museo Palazzo Reale di Genova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3267","Sede di Museo nazionale di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_33","Sede di Museo civico archeologico di Bologna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_330","Sede di Museo nazionale Collezione Salce sede di San Gaetano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3342","Sede di Pinacoteca Nazionale di Bologna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_336","Sede di Museo nazionale romano - Terme di Diocleziano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3392","Sede di Villa Adriana e Villa d'Este - Santuario di Ercole Vincitore"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_340","Sede di Museo di Palazzo Grimani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_344","Sede di Museo archeologico nazionale di Taranto - MArTA"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3486","Sede di Archivio di Stato di Macerata"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3579","Sede di Castello Aragonese"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3587","Sede di Museo nazionale archeologico della Sibaritide"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3590","Sede di Parco archeologico di Ercolano - Area archeologica"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3612","Sede di Museo archeologico Metauros"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3622","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3668","Sede di Museo e Real Bosco di Capodimonte"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_369","Sede di Museo archeologico di Venafro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_372","Sede di Museo tattile statale Omero"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_385","Sede di Museo nazionale e Area archeologica di Altino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_386","Sede di Museo sannitico"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_389","Sede di Museo sannitico"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_3894","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_4064","Sede di Museo archeologico nazionale di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_4065","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_414","Sede di Museo di Palazzo Grimani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_417","Sede di Museo nazionale Concordiese di Portogruaro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_419","Sede di Galleria Giorgio Franchetti alla Ca' d'Oro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_420","Sede di Museo nazionale romano - Palazzo Massimo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_424","Sede di Antiquarium di Torre Cimalonga"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_427","Sede di Parco archeologico di Laos Santa Maria del Cedro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_428","Sede di Museo archeologico nazionale ed Area archeologica di Cosa"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_4386","Sede di Certosa e Museo di San Martino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_444","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_448","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_450","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_458","Sede di Museo archeologico nazionale ""Vito Capialbi"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_4597","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_468","Sede di Galleria nazionale dell'Umbria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_471","Sede di Area archeologica di Roselle"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_4728","Sede di Galleria Nazionale d'Arte Moderna e Contemporanea"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_474","Sede di Museo nazionale etrusco e necropoli di Chiusi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_491","Sede di Parco archeologico di Pompei - Antiquarium di Boscoreale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_509","Sede di Museo nazionale di Palazzo Reale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5172","Sede di Museo nazionale dell'Ebraismo Italiano e della Shoah - MEIS"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_528","Sede di Villa Adriana e Villa d'Este - Santuario di Ercole Vincitore"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5389","Sede di Anfiteatro campano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5450","Sede di Museo civico archeologico di Bologna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_554","Sede di Villa Adriana e Villa d'Este - Santuario di Ercole Vincitore"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5575","Sede di Grotta del Mitreo (Duino Aurisina)"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5589","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_559","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_5655","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_571","Sede di Parco archeologico dei Campi Flegrei - Museo archeologico dei Campi Flegrei nel Castello di Baia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_595","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_60","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_6398","Sede di Museo Diego Aragona Pignatelli Cortes e Museo delle Carrozze"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_640","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_6635","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_673","Sede di Villa medicea di Cerreto Guidi e Museo storico della Caccia e del Territorio"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_682","Sede di Parco archeologico di Ostia antica - Area archeologica di Ostia antica"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_6893","Sede di Biblioteca Universitaria di Pavia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_6922","Sede di Biblioteca Universitaria di Genova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_715","Sede di Biblioteca nazionale Marciana - Sale monumentali"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_724","Sede di Parco archeologico di Siponto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7321","Sede di Archivio di Stato di Alessandria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_736","Sede di MArRC - Museo archeologico nazionale di Reggio Calabria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7395","Sede di Museo archeologico nazionale ""La Civitella"" e Monumenti e Aree archeologiche dell'antica Teate"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7397","Sede di Museo archeologico nazionale d'Abruzzo - Villa Frigerj"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7398","Sede di Museo archeologico nazionale di Campli e Area archeologica di Campovalano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7459","Sede di Museo archeologico territoriale della penisola sorrentina ""Georges Vallet"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7476","Sede di Area archeologica di Nervia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_752","Sede di Biblioteca Statale Stelio Crise di Trieste"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7638","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7643","Sede di Villa Carlotta - Museo e giardino botanico"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7841","Sede di Direzione Regionale Musei Veneto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_7914","Sede di Direzione Regionale Musei Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_795","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8003","Sede di Museo delle Civiltà"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8028","Sede di Archivio di Stato di Verbania"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8144","Sede di MAV - Museo Archeologico Virtuale"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8212","Sede di Direzione Regionale Musei Veneto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8267","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_832","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8351","Sede di Soprintendenza Speciale Archeologia, Belle Arti e Paesaggio di Roma"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8422","Sede di Direzione Regionale Musei Emilia Romagna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8430","Sede di Ministero della cultura"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8521","Sede di Direzione Regionale Musei Liguria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8540","Sede di Pinacoteca civica ""Bruno Molajoli"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8558","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8630","Sede di Direzione Regionale Musei Veneto"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8836","Sede di Museo nazionale Etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_8880","Sede di Centro culturale ""Museo dei Fieschi"""
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_907","Sede di Forte di Gavi"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9108","Sede di Pinacoteca nazionale di Siena"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9159","Sede di Biblioteca Statale del Monumento Nazionale di Montevergine"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_919","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9240","Sede di Archivio di Stato di Alessandria"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9279","Sede di Archivio di Stato di Gorizia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_93","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9312","Sede di Biblioteca Universitaria di Napoli"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9327","Sede di Archivio di Stato di Lecce"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_936","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9360","Sede di Archivio di Stato di Biella"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9396","Sede di Archivio di Stato di Perugia. Sezione di Foligno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9429","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9439","Sede di Archivio di Stato di Campobasso"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9445","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9473","Sede di Complesso Monumentale della Pilotta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9489","Sede di Villa Adriana e Villa d'Este - Villa d'Este"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9518","Sede di Museo nazionale di Ravenna"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9521","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9544","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9601","Sede di Museo archeologico nazionale “Giuseppe Andreassi” e Parco archeologico di Egnazia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_964","Sede di Biblioteca Statale Stelio Crise di Trieste"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9640","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9660","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9669","Sede di Ufficio Stampa e Comunicazione"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9678","Sede di Museo Palazzo Reale di Genova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_969","Sede di Parco archeologico del Colosseo - Foro Romano e Palatino"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9701","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9742","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9744","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9760","Sede di Museo nazionale etrusco di Villa Giulia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9767","Sede di Parco Archeologico di Ercolano"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_9812","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Sassari e Nuoro"
