,topic,lat,long
60,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133232,40.66745,16.609383
61,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135125,41.89686,12.492531
62,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134446,44.392315,8.964201
63,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134751,40.35384,18.173994
64,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134871,40.46883,17.274921
65,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134856,43.58056,10.361013
66,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134815,43.893753,10.246682
67,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/147422,41.86956,12.568359
68,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/134443,42.95536,12.72383
69,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/140954,42.331505,12.267627
70,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/151589,41.86956,12.568359
71,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108198,45.43707,12.342447
72,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/129750,41.11384,16.48596
73,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135477,41.70613,15.952917
74,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/144346,41.901463,12.512324
75,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/137568,37.502327,15.082998
76,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139239,41.89116,12.48797
77,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139374,41.891224,12.488587
78,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139242,41.89305,12.487421
79,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141891,45.657417,13.77313
80,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/152273,41.86956,12.568359
