"s","label"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530859","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530869","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, Agro Romano"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, Castel Malnome"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, Prati Fiscali"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, Lombardia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, ante 1873"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Rm, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, Lazio, RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Italia, Roma, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Toscana, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, Ghetto"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","ITALIA, Lazio, RM, Roma, Circo Massimo (lato breve curvo)"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Europa, ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530870","Europa - Italia - Lazio - Rm - Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","RM, ROMA"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Italia, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","ITALIA, Lazio, RM, Roma"
"https://w3id.org/arco/resource/DemoEthnoAnthropologicalHeritage/1200530871","Toscana, RM, Roma"
