"s","o"
"https://w3id.org/arco/resource/CulturalEvent/7cbf3aea3d3781373c4d15a1d6e06222","1952"
"https://w3id.org/arco/resource/CulturalEvent/8a3a6051d196bdc04948072fa6cfad13","1967"
"https://w3id.org/arco/resource/CulturalEvent/8e564443292399cf2774c17db8cbc813","1911"
"https://w3id.org/arco/resource/CulturalEvent/900dd83462c39c70e0a2b90d9d856298","1958"
"https://w3id.org/arco/resource/CulturalEvent/996bbf9fba8e565d8833778706df572d","1960/ 1961"
"https://w3id.org/arco/resource/CulturalEvent/996bbf9fba8e565d8833778706df572d","1960/ 61"
"https://w3id.org/arco/resource/CulturalEvent/9a89c388330cae97ed85577e128b769d","1951"
"https://w3id.org/arco/resource/CulturalEvent/a058307427520f76a1fd7ab53f2482a5","1907"
"https://w3id.org/arco/resource/CulturalEvent/a4eb1982f8723fb0fdff2cd0c9e2cfb4","2000"
"https://w3id.org/arco/resource/CulturalEvent/ad8eb15bd3018d8020bc7d0dca2a444a","1988"
"https://w3id.org/arco/resource/CulturalEvent/b2ac090abe1ec993d336264b14600862","1987"
"https://w3id.org/arco/resource/CulturalEvent/b90277e5d97b3d5c1a2b7728929a20ef","1974"
"https://w3id.org/arco/resource/CulturalEvent/caed90b528a51fda743a5ff3f8b508f0","1930"
"https://w3id.org/arco/resource/CulturalEvent/d20a50d21ee672ef5663379cd494b5c4","1980"
"https://w3id.org/arco/resource/CulturalEvent/d654c596eae2ce0eccf6aeee7b190c82","1967"
"https://w3id.org/arco/resource/CulturalEvent/d7f32bfcf4889fb2073083afa12fb84e","1839"
"https://w3id.org/arco/resource/CulturalEvent/d99f184ae13b5a45647f8250c34e503d","1951"
"https://w3id.org/arco/resource/CulturalEvent/d9a74c1744c963a9313f178e5b67c85b","1883"
"https://w3id.org/arco/resource/CulturalEvent/db94b16cfc85108a63afc25e0cabaeb4","1964"
"https://w3id.org/arco/resource/CulturalEvent/dd69bab3d5429e83cb0ddb4f7f883e86","1963"
"https://w3id.org/arco/resource/CulturalEvent/e36541d972c715497bb4c1df9e34f35e","1980"
"https://w3id.org/arco/resource/CulturalEvent/f83a692e87afe3ee5f608e7f308edd70","1964"
"https://w3id.org/arco/resource/CulturalEvent/f919c5a3eb95b5c8b03e5f9e132097ff","1958"
"https://w3id.org/arco/resource/CulturalEvent/fc7e2d1db3669273e3e239b69f92290a","1971"
"https://w3id.org/arco/resource/CulturalEvent/25112db840ca7333431bf51ee7bc7275","1989/12/16"
"https://w3id.org/arco/resource/CulturalEvent/3df1e697ac914421661ddfcc30d2bccd","sec. XX"
"https://w3id.org/arco/resource/CulturalEvent/89d4e32f5061db263f14ec40581ecb86","1989/12/16"
"https://w3id.org/arco/resource/CulturalEvent/a4729b172751f7e69fbbc909bf9c21e0","1989/12/16"
"https://w3id.org/arco/resource/CulturalEvent/0862e0d7d62c9d35a693c5423818ebaf","1989"
"https://w3id.org/arco/resource/CulturalEvent/67461a89faf43a95c37fe284db3c2fab","1956"
"https://w3id.org/arco/resource/CulturalEvent/86e630de8d588646f182b6d65882ab76","1999/ 2000"
"https://w3id.org/arco/resource/CulturalEvent/86e630de8d588646f182b6d65882ab76","1999-2000"
"https://w3id.org/arco/resource/CulturalEvent/b7fc4be0fe7115fe27e06a0e7b2c07a6","1957"
"https://w3id.org/arco/resource/CulturalEvent/59cda1291df05d4b389a63637053436c","2012-2013"
"https://w3id.org/arco/resource/CulturalEvent/e4337ce6d74191c687ec3ee8c0592a53","1953"
"https://w3id.org/arco/resource/CulturalEvent/fb2706c8a18b42e8bd57f4de9b4c251c","1986"
"https://w3id.org/arco/resource/CulturalEvent/4fa65cba557e3cb7a679b854d3c3c404","1986"
"https://w3id.org/arco/resource/CulturalEvent/5c9e4b8f6406887830e556c22b114af2","1987-1988"
"https://w3id.org/arco/resource/CulturalEvent/b565e885d4d7b327ea0a560803bf8123","1988-1989"
"https://w3id.org/arco/resource/CulturalEvent/f12f10d168e093fd0259bb3a015d8af9","2001-2002"
"https://w3id.org/arco/resource/CulturalEvent/f71b6b00e3778f51e9575c2fc146787b","2001"
"https://w3id.org/arco/resource/CulturalEvent/f71b6b00e3778f51e9575c2fc146787b","12 aprile-1 luglio 2001"
"https://w3id.org/arco/resource/CulturalEvent/6933e81ae235cad37b79ece1d9e6f446","1976"
"https://w3id.org/arco/resource/CulturalEvent/aabdf036c51b005136443182f0eb84d5","1990"
"https://w3id.org/arco/resource/CulturalEvent/b7645944dddf2813b86dc426661c36a9","2011-2012"
"https://w3id.org/arco/resource/CulturalEvent/82dfc8aa46c10912df871f0c20c9513c","2011"
"https://w3id.org/arco/resource/CulturalEvent/eede0bfedeffcbc3a519239544009a87","1857"
"https://w3id.org/arco/resource/CulturalEvent/eede0bfedeffcbc3a519239544009a87","1957"
"https://w3id.org/arco/resource/CulturalEvent/eede0bfedeffcbc3a519239544009a87","1958"
"https://w3id.org/arco/resource/CulturalEvent/eede0bfedeffcbc3a519239544009a87","1961"
"https://w3id.org/arco/resource/CulturalEvent/faf7c92c0a7839987bb2edc19d46ec5a","1933"
"https://w3id.org/arco/resource/CulturalEvent/faf7c92c0a7839987bb2edc19d46ec5a","1961"
"https://w3id.org/arco/resource/CulturalEvent/59a9ca26c0e1a5516679c563c79e84f7","1989"
"https://w3id.org/arco/resource/CulturalEvent/5fe54786765244cc83bcf9e0affb576d","26/05/2000-03/06/2000"
"https://w3id.org/arco/resource/CulturalEvent/89ccca914c82aeaf2af61454b0117154","1870"
"https://w3id.org/arco/resource/CulturalEvent/076d788c3a8917ee7e59ec6f3c1ea28a","1993"
"https://w3id.org/arco/resource/CulturalEvent/1325dd7af2cea5aad4bc4f15f8dc8da7","2014"
"https://w3id.org/arco/resource/CulturalEvent/2e38c5939d6317385a1dec9dcd80035b","1998"
"https://w3id.org/arco/resource/CulturalEvent/755b4d8ecff5542acb0c339bd87a95f3","1987"
"https://w3id.org/arco/resource/CulturalEvent/8e0bc94f668fc5e91c7668b1be449a9e","2000"
"https://w3id.org/arco/resource/CulturalEvent/9ed00ed26f699c1398484476da26968a","1948"
"https://w3id.org/arco/resource/CulturalEvent/0dc84938faec0adc4a066e4c5a5f00ac","1851"
"https://w3id.org/arco/resource/CulturalEvent/0dc84938faec0adc4a066e4c5a5f00ac","1880"
"https://w3id.org/arco/resource/CulturalEvent/d59eb554427b9d61c9f821aec4a3d349","1838"
"https://w3id.org/arco/resource/CulturalEvent/03cd46a708a09d018859d8230ff8350c","1976-1977"
"https://w3id.org/arco/resource/CulturalEvent/18652ea0810637c33e4ff766413c8719","1983"
"https://w3id.org/arco/resource/CulturalEvent/82d9406abe257fa408bae568f6d38d96","1976-1977"
"https://w3id.org/arco/resource/CulturalEvent/9ce315706a17e4fc6cd651fe9ea67d22","1979"
"https://w3id.org/arco/resource/CulturalEvent/cd29bb016e2d2003d313326eb8a9e62d","2000"
"https://w3id.org/arco/resource/CulturalEvent/ec8838d12937bcbadd0a26e097540047","1990"
"https://w3id.org/arco/resource/CulturalEvent/2235a9f285dd1c40eea9fb915f2f93ea","1980"
"https://w3id.org/arco/resource/CulturalEvent/6bed078575c325b9d9bc4670a4d3719c","1998"
"https://w3id.org/arco/resource/CulturalEvent/920e7a9fc39a89c997a58b4616c5caf2","1959"
"https://w3id.org/arco/resource/CulturalEvent/b26ac2ca8e9ebe904332dfe3f914f5d1","1947"
"https://w3id.org/arco/resource/CulturalEvent/bc7d945f24e58711bb3cb4906e0244b0","1954"
"https://w3id.org/arco/resource/CulturalEvent/c68f4acb05f3e51d0d69754605d9dd95","1999/ 2000"
"https://w3id.org/arco/resource/CulturalEvent/ce3723a588283b8699a808559abfc8c1","1991/ 1992"
"https://w3id.org/arco/resource/CulturalEvent/ee2c155f6c933c704716c2344b80aa44","1976"
"https://w3id.org/arco/resource/CulturalEvent/7c915239fe86036880bb58e158753840","1982"
"https://w3id.org/arco/resource/CulturalEvent/905ddcea3957b03cbb9717523fad3643","1996"
"https://w3id.org/arco/resource/CulturalEvent/9d55358039cf8811fd36504ab19aeabc","1981"
"https://w3id.org/arco/resource/CulturalEvent/b19162103962a73fa59d732f27fb3765","1996"
"https://w3id.org/arco/resource/CulturalEvent/e0d84724b4fb5593ccfd29d679d6f997","1981"
"https://w3id.org/arco/resource/CulturalEvent/0a36fd5babb1fbd05380fd5f7fc4ec69","2003"
"https://w3id.org/arco/resource/CulturalEvent/3cce6bd4d563978c9e01c07d0e298162","22 lug- 30 sett 2013"
"https://w3id.org/arco/resource/CulturalEvent/716c3acb2608523a54da54cac42c01f8","4 marzo/ 7 maggio 2006"
"https://w3id.org/arco/resource/CulturalEvent/84f104652bcd8580d601b3c582866a02","28 lug- 01 nov 2011"
"https://w3id.org/arco/resource/CulturalEvent/9493fc04a4131311709e49bc206c38b1","1984-1985"
"https://w3id.org/arco/resource/CulturalEvent/cbc23dce9b9e2386b70a12efc95aa253","2013"
"https://w3id.org/arco/resource/CulturalEvent/2d5036849f187a09b6b3dccd690fc12d","1953"
"https://w3id.org/arco/resource/CulturalEvent/73567d5155ba8cb6474ae2e382e3caa0","1987"
"https://w3id.org/arco/resource/CulturalEvent/9ed2679c0e0730072e941bd8bd6d9638","1978-1979"
"https://w3id.org/arco/resource/CulturalEvent/ce9fc1866da07f635a691928e9c94406","2004/2005"
"https://w3id.org/arco/resource/CulturalEvent/e7e9e3574bbb8aff4d60441168966b14","1987"
"https://w3id.org/arco/resource/CulturalEvent/052ccbbb210bc4185d7016b9f269574b","1979"
"https://w3id.org/arco/resource/CulturalEvent/1ae55e822826feaca49f2f5661e294db","1982"
"https://w3id.org/arco/resource/CulturalEvent/3b870d3c105397f00f8e6586addd4884","1972"
"https://w3id.org/arco/resource/CulturalEvent/4c8ef118fd3fa327fb50830823121d39","1952"
"https://w3id.org/arco/resource/CulturalEvent/90cf50dcf45c78e1ec4616349fe1e438","1972"
"https://w3id.org/arco/resource/CulturalEvent/9814c79f96ee4a1638ed198ba1f24bf7","1952"
"https://w3id.org/arco/resource/CulturalEvent/5a934d504ff01d82d7fb47f61cafcf42","2004"
"https://w3id.org/arco/resource/CulturalEvent/5a934d504ff01d82d7fb47f61cafcf42","15 novembre 2003 - 28 marzo 2004"
"https://w3id.org/arco/resource/CulturalEvent/5a934d504ff01d82d7fb47f61cafcf42","15 novembre 2003 28 marzo 2004"
"https://w3id.org/arco/resource/CulturalEvent/02aa4ae767873c7a0ff99d4bb3ea9701","1974"
"https://w3id.org/arco/resource/CulturalEvent/0bd1259bf30e80094b99e9c3f0626034","1980"
"https://w3id.org/arco/resource/CulturalEvent/71b63b601aac6ad82030356b0ac95cc8","1981"
"https://w3id.org/arco/resource/CulturalEvent/9bd4def1ebd4626e68a7dbc66ee517c1","1964"
"https://w3id.org/arco/resource/CulturalEvent/cc133de389e855642d53b44266b33b64","1953"
