,concept
112,https://w3id.org/italia/onto/RO/Role
113,https://w3id.org/arco/ontology/location/SiteSpecification
114,https://w3id.org/arco/ontology/location/SiteType
115,https://w3id.org/arco/ontology/context-description/Copy
116,https://w3id.org/arco/ontology/context-description/DerivatedWorkType
117,https://w3id.org/arco/ontology/context-description/ReferenceCatalogue
118,https://w3id.org/arco/ontology/context-description/ArchaeologicalExcavation
119,https://w3id.org/arco/ontology/arco/ArchaeologicalProperty
120,https://w3id.org/arco/ontology/catalogue/CatalogueRecordRA
121,https://w3id.org/arco/ontology/context-description/GraphicOrCartographicDocumentation
122,https://w3id.org/arco/ontology/immovable-property/Construction
123,https://w3id.org/arco/ontology/arco/ArchitecturalOrLandscapeHeritage
124,https://w3id.org/arco/ontology/arco/ImmovableCulturalProperty
125,https://w3id.org/arco/ontology/construction-description/Construction
126,https://w3id.org/arco/ontology/location/CadastralIdentity
127,https://w3id.org/arco/ontology/catalogue/CatalogueRecordA
128,https://w3id.org/arco/ontology/arco/CulturalPropertyPart
129,https://w3id.org/arco/ontology/context-description/EligibleIntervention
130,https://w3id.org/arco/ontology/context-description/ProtectiveMeasure
131,https://w3id.org/arco/ontology/context-description/StratigraphicUnit
132,https://w3id.org/arco/ontology/context-description/UrbanPlanningInstrument
133,https://w3id.org/arco/ontology/context-description/Use
134,https://w3id.org/arco/ontology/denotative-description/AffixedElementType
135,http://dati.beniculturali.it/cis/GeographicalFeature
136,https://w3id.org/arco/ontology/catalogue/CatalogueRecordD
137,https://w3id.org/arco/ontology/context-description/Reuse
138,https://w3id.org/arco/ontology/location/SiteDefinition
139,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBDM
140,https://w3id.org/arco/ontology/arco/DemoEthnoAnthropologicalHeritage
141,https://w3id.org/arco/ontology/context-description/Profession
142,https://w3id.org/arco/ontology/context-description/UserSocialCategory
143,https://w3id.org/arco/ontology/arco/CulturalPropertyCategory
144,https://w3id.org/arco/ontology/immovable-property/Building
145,https://w3id.org/arco/ontology/construction-description/Building
146,https://w3id.org/arco/ontology/context-description/ArchivalRecordSetMembership
147,https://w3id.org/arco/ontology/catalogue/CatalogueRecordF
148,https://w3id.org/arco/ontology/context-description/ConservationIntervention
149,https://w3id.org/arco/ontology/context-description/Copyright
150,https://w3id.org/arco/ontology/immovable-property/ConstructionPart
151,https://w3id.org/arco/ontology/construction-description/ConstructionPart
152,https://w3id.org/arco/ontology/context-description/DocumentationType
153,https://w3id.org/arco/ontology/arco/PhotographicHeritage
154,https://w3id.org/arco/ontology/denotative-description/Logo
155,https://olaf.datipubblici.org/olaf/SkippedEntity
156,https://w3id.org/arco/ontology/context-description/FinalWork
157,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMI
158,https://w3id.org/arco/ontology/context-description/AcquisitionType
159,https://w3id.org/arco/ontology/catalogue/CatalogueRecordAT
160,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNP
161,https://w3id.org/arco/ontology/catalogue/CatalogueRecordNU
162,https://w3id.org/arco/ontology/catalogue/CatalogueRecordPST
163,https://w3id.org/arco/ontology/denotative-description/CoinDesign
164,https://w3id.org/arco/ontology/context-description/CoinIssuance
165,https://w3id.org/arco/ontology/denotative-description/CoinLegend
166,https://w3id.org/arco/ontology/context-description/CollectionMembership
167,https://w3id.org/italia/onto/MU/MeasurementUnit
168,https://w3id.org/arco/ontology/arco/NaturalHeritage
169,https://w3id.org/arco/ontology/arco/PaleontologicalHeritage
170,https://w3id.org/arco/ontology/arco/NumismaticProperty
171,https://w3id.org/arco/ontology/arco/ScientificOrTechnologicalHeritage
172,https://w3id.org/arco/ontology/context-description/Responsibility
173,https://w3id.org/arco/ontology/location/BaseMap
174,https://w3id.org/arco/ontology/location/CadastralFolio
175,https://w3id.org/arco/ontology/location/CadastralUnitCollection
