,s,lat,long
70,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051387,41.072296,14.327013
71,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051390,41.072296,14.327013
72,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051401,41.072296,14.327013
73,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051410,41.072296,14.327013
74,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051415,41.072296,14.327013
75,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051419,41.072296,14.327013
76,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051422,41.072296,14.327013
77,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051423,41.072296,14.327013
78,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051424,41.072296,14.327013
79,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051426,41.072296,14.327013
80,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051429,41.072296,14.327013
81,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051436,41.072296,14.327013
82,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051442,41.072296,14.327013
83,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051443,41.072296,14.327013
84,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051446,41.072296,14.327013
85,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051447,41.072296,14.327013
86,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051449,41.072296,14.327013
87,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051461,41.072296,14.327013
88,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051467,41.072296,14.327013
89,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051471,41.072296,14.327013
90,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051474,41.072296,14.327013
91,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051487,41.072296,14.327013
92,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051496,41.072296,14.327013
93,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051504,41.072296,14.327013
94,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051512,41.072296,14.327013
95,https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500051517,41.072296,14.327013
