,c
107,https://w3id.org/arco/ontology/arco/ScientificOrTechnologicalHeritage
108,https://w3id.org/arco/ontology/arco/TangibleCulturalProperty
109,https://w3id.org/arco/ontology/arco/ThematicCategory
110,https://w3id.org/arco/ontology/arco/ZoologicalHeritage
111,https://w3id.org/arco/ontology/catalogue/AccessProfile
112,https://w3id.org/arco/ontology/catalogue/AdditionalForm
113,https://w3id.org/arco/ontology/catalogue/AdditionalFormType
114,https://w3id.org/arco/ontology/catalogue/AlternativeIdentifier
115,https://w3id.org/arco/ontology/catalogue/CatalogueRecord
116,https://w3id.org/arco/ontology/catalogue/CatalogueRecordA
117,https://w3id.org/arco/ontology/catalogue/CatalogueRecordAT
118,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBDI
119,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBDM
120,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNB
121,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNM
122,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNP
123,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNPE
124,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNPL
125,https://w3id.org/arco/ontology/catalogue/CatalogueRecordBNZ
126,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCA
127,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCF
128,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCG
129,https://w3id.org/arco/ontology/catalogue/CatalogueRecordCNS
130,https://w3id.org/arco/ontology/catalogue/CatalogueRecordD
131,https://w3id.org/arco/ontology/catalogue/CatalogueRecordE
132,https://w3id.org/arco/ontology/catalogue/CatalogueRecordF
133,https://w3id.org/arco/ontology/catalogue/CatalogueRecordFF
134,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMA
135,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMI
136,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMINP
137,https://w3id.org/arco/ontology/catalogue/CatalogueRecordMODI
138,https://w3id.org/arco/ontology/catalogue/CatalogueRecordNU
139,https://w3id.org/arco/ontology/catalogue/CatalogueRecordOA
140,https://w3id.org/arco/ontology/catalogue/CatalogueRecordOAC
141,https://w3id.org/arco/ontology/catalogue/CatalogueRecordPG
142,https://w3id.org/arco/ontology/catalogue/CatalogueRecordPST
143,https://w3id.org/arco/ontology/catalogue/CatalogueRecordRA
144,https://w3id.org/arco/ontology/catalogue/CatalogueRecordS
145,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSAS
146,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSCAN
147,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSI
148,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSM
149,https://w3id.org/arco/ontology/catalogue/CatalogueRecordSMO
150,https://w3id.org/arco/ontology/catalogue/CatalogueRecordTMA
151,https://w3id.org/arco/ontology/catalogue/CatalogueRecordVeAC
152,https://w3id.org/arco/ontology/catalogue/CatalogueRecordVersion
153,https://w3id.org/arco/ontology/catalogue/CataloguingLevel
154,https://w3id.org/arco/ontology/catalogue/ComplexCPCatalogueRecord
155,https://w3id.org/arco/ontology/catalogue/CulturalPropertyRecord
156,https://w3id.org/arco/ontology/catalogue/InformationForm
157,https://w3id.org/arco/ontology/catalogue/PrivacyLevel
158,https://w3id.org/arco/ontology/catalogue/PrivacyReason
159,https://w3id.org/arco/ontology/cataloguing-campaign/ActivityStatus
160,https://w3id.org/arco/ontology/cataloguing-campaign/Application
161,https://w3id.org/arco/ontology/cataloguing-campaign/ApplicationStatus
162,https://w3id.org/arco/ontology/cataloguing-campaign/CampaignStatus
163,https://w3id.org/arco/ontology/cataloguing-campaign/CampaignType
164,https://w3id.org/arco/ontology/cataloguing-campaign/CatalogueNumbersAssignment
165,https://w3id.org/arco/ontology/cataloguing-campaign/CataloguingActivity
166,https://w3id.org/arco/ontology/cataloguing-campaign/CataloguingOrDigitizationCampaign
167,https://w3id.org/arco/ontology/cataloguing-campaign/OrganizationType
168,https://w3id.org/arco/ontology/cataloguing-campaign/Protocol
169,https://w3id.org/arco/ontology/cataloguing-campaign/Status
170,https://w3id.org/arco/ontology/construction-description/ArchitecturalElement
171,https://w3id.org/arco/ontology/construction-description/ArchitecturalEnsemble
172,https://w3id.org/arco/ontology/construction-description/ArchitecturalOrder
173,https://w3id.org/arco/ontology/construction-description/Building
174,https://w3id.org/arco/ontology/construction-description/Built-inFurnishingElement
175,https://w3id.org/arco/ontology/construction-description/Chimney
176,https://w3id.org/arco/ontology/construction-description/ConnectionElement
177,https://w3id.org/arco/ontology/construction-description/Construction
178,https://w3id.org/arco/ontology/construction-description/ConstructionDesign
179,https://w3id.org/arco/ontology/construction-description/ConstructionElement
180,https://w3id.org/arco/ontology/construction-description/ConstructionPart
181,https://w3id.org/arco/ontology/construction-description/ConstructionSpace
182,https://w3id.org/arco/ontology/construction-description/Covering
183,https://w3id.org/arco/ontology/construction-description/CoveringType
184,https://w3id.org/arco/ontology/construction-description/Door
185,https://w3id.org/arco/ontology/construction-description/ElevationLayout
186,https://w3id.org/arco/ontology/construction-description/Escalator
187,https://w3id.org/arco/ontology/construction-description/Floor
188,https://w3id.org/arco/ontology/construction-description/Flooring
189,https://w3id.org/arco/ontology/construction-description/FlooringLayout
190,https://w3id.org/arco/ontology/construction-description/FlooringType
191,https://w3id.org/arco/ontology/construction-description/Foundation
192,https://w3id.org/arco/ontology/construction-description/FoundationType
193,https://w3id.org/arco/ontology/construction-description/FurnishingElement
194,https://w3id.org/arco/ontology/construction-description/HorizontalElement
195,https://w3id.org/arco/ontology/construction-description/HorizontalElementType
196,https://w3id.org/arco/ontology/construction-description/HorizontalSubdivision
197,https://w3id.org/arco/ontology/construction-description/InteriorSubdivision
198,https://w3id.org/arco/ontology/construction-description/Layout
199,https://w3id.org/arco/ontology/construction-description/Lift
200,https://w3id.org/arco/ontology/construction-description/ModeOfIrrigation
201,https://w3id.org/arco/ontology/construction-description/MovableFurnishingElement
202,https://w3id.org/arco/ontology/construction-description/MovingWalkway
203,https://w3id.org/arco/ontology/construction-description/NaturalElement
